Wavmic	FluxJy	errFluxJy
2.89907	2.497E-5	4.69705E-4
2.90007	2.878E-5	5.05101E-4
2.90108	3.73E-5	5.43983E-4
2.90208	3.64E-5	5.29592E-4
2.90308	4.045E-5	5.38692E-4
2.90409	3.509E-5	4.96755E-4
2.90509	3.344E-5	4.84617E-4
2.9061	3.315E-5	5.06364E-4
2.9071	3.201E-5	4.88929E-4
2.9081	3.105E-5	4.75183E-4
2.90911	2.867E-5	4.46869E-4
2.91011	2.958E-5	4.59111E-4
2.91112	2.998E-5	4.67218E-4
2.91212	3.054E-5	4.97658E-4
2.91312	2.763E-5	4.3551E-4
2.91413	2.819E-5	4.74997E-4
2.91513	2.426E-5	3.96886E-4
2.91614	2.641E-5	4.07922E-4
2.91714	2.781E-5	4.41922E-4
2.91814	2.564E-5	4.32406E-4
2.91915	2.698E-5	4.60358E-4
2.92015	2.579E-5	4.30363E-4
2.92116	2.43E-5	4.13304E-4
2.92216	2.47E-5	4.05876E-4
2.92316	2.301E-5	3.95308E-4
2.92417	1.892E-5	4.00779E-4
2.92517	1.764E-5	3.81381E-4
2.92618	2.238E-5	3.87359E-4
2.92718	2.248E-5	3.57573E-4
2.92818	2.165E-5	3.57332E-4
2.92919	2.394E-5	3.91126E-4
2.93019	2.54E-5	4.03293E-4
2.9312	2.537E-5	4.19778E-4
2.9322	2.323E-5	4.17304E-4
2.9332	2.325E-5	4.26633E-4
2.93421	2.371E-5	4.52387E-4
2.93521	2.209E-5	4.53444E-4
2.93622	1.868E-5	3.59558E-4
2.93722	2.169E-5	3.619E-4
2.93822	2.305E-5	3.66138E-4
2.93923	2.209E-5	3.68349E-4
2.94023	2.385E-5	3.99471E-4
2.94124	2.537E-5	4.16677E-4
2.94224	1.696E-5	3.83346E-4
2.94324	1.767E-5	4.02703E-4
2.94425	1.778E-5	3.77505E-4
2.94525	1.81E-5	3.45643E-4
2.94626	1.942E-5	3.31295E-4
2.94726	1.825E-5	3.15337E-4
2.94826	2.07E-5	3.35511E-4
2.94927	2.099E-5	3.2774E-4
2.95027	2.369E-5	3.62357E-4
2.95128	2.286E-5	3.59925E-4
2.95228	1.703E-5	3.27076E-4
2.95328	1.816E-5	3.40317E-4
2.95429	1.799E-5	3.23452E-4
2.95529	1.882E-5	3.32693E-4
2.9563	1.48E-5	3.03285E-4
2.9573	1.546E-5	2.9821E-4
2.9583	1.732E-5	3.20344E-4
2.95931	1.9E-5	3.12995E-4
2.96031	1.59E-5	2.93264E-4
2.96132	1.565E-5	3.09482E-4
2.96232	1.86E-5	3.47499E-4
2.96332	1.967E-5	3.49822E-4
2.96433	1.881E-5	3.22441E-4
2.96533	2.095E-5	3.37857E-4
2.96634	1.693E-5	2.9353E-4
2.96734	1.651E-5	2.90622E-4
2.96834	1.661E-5	3.07061E-4
2.96935	1.646E-5	3.12821E-4
2.97035	1.682E-5	3.10566E-4
2.97136	1.72E-5	2.93783E-4
2.97236	1.905E-5	2.90323E-4
2.97336	1.783E-5	2.8096E-4
2.97437	1.551E-5	2.77452E-4
2.97537	1.403E-5	2.64954E-4
2.97638	1.379E-5	2.74856E-4
2.97738	1.113E-5	2.8092E-4
2.97838	1.745E-5	3.51656E-4
2.97939	1.611E-5	3.45609E-4
2.98039	1.225E-5	3.18221E-4
2.9814	1.607E-5	3.09973E-4
2.9824	1.698E-5	3.00381E-4
2.9834	1.227E-5	2.77742E-4
2.98441	1.432E-5	2.85762E-4
2.98541	1.413E-5	2.83072E-4
2.98642	1.153E-5	3.0943E-4
2.98742	1.205E-5	3.07625E-4
2.98842	1.619E-5	3.68321E-4
2.98943	1.607E-5	3.41965E-4
2.99043	1.564E-5	3.04638E-4
2.99144	1.566E-5	3.09582E-4
2.99244	1.551E-5	2.9226E-4
2.99344	1.552E-5	2.96322E-4
2.99445	1.356E-5	3.06984E-4
2.99545	1.326E-5	2.97887E-4
2.99646	1.277E-5	2.89025E-4
2.99746	1.699E-5	3.0842E-4
2.99846	1.561E-5	2.92677E-4
2.99947	1.382E-5	2.68681E-4
3.00047	1.483E-5	2.97216E-4
3.00148	1.524E-5	3.16243E-4
3.00248	1.396E-5	2.98205E-4
3.00348	1.2E-5	2.80229E-4
3.00449	1.3E-5	2.82863E-4
3.00549	1.269E-5	2.81499E-4
3.0065	1.356E-5	2.87504E-4
3.0075	1.105E-5	2.60335E-4
3.0085	1.324E-5	2.77091E-4
3.00951	1.178E-5	2.80777E-4
3.01051	1.283E-5	2.78441E-4
3.01152	1.723E-5	3.46471E-4
3.01252	1.487E-5	3.11831E-4
3.01352	1.449E-5	2.89549E-4
3.01453	1.292E-5	2.48981E-4
3.01553	1.552E-5	2.77515E-4
3.01654	1.361E-5	2.72381E-4
3.01754	1.448E-5	3.12641E-4
3.01854	1.577E-5	3.91324E-4
3.01955	1.311E-5	2.60069E-4
3.02055	1.337E-5	2.6174E-4
3.02156	1.499E-5	2.84543E-4
3.02256	1.499E-5	2.88062E-4
3.02356	1.302E-5	2.73693E-4
3.02457	1.126E-5	2.55077E-4
3.02557	1.503E-5	3.12087E-4
3.02658	1.451E-5	3.10094E-4
3.02758	1.327E-5	3.44034E-4
3.02858	1.086E-5	3.56713E-4
3.02959	1.064E-5	2.89138E-4
3.03059	1.381E-5	2.96806E-4
3.0316	1.471E-5	2.82464E-4
3.0326	1.223E-5	2.61457E-4
3.0336	1.28E-5	2.4936E-4
3.03461	1.191E-5	2.54796E-4
3.03561	1.135E-5	2.52045E-4
3.03662	1.317E-5	2.61964E-4
3.03762	1.564E-5	2.74572E-4
3.03862	1.384E-5	2.71328E-4
3.03963	1.301E-5	2.66222E-4
3.04063	1.111E-5	2.57966E-4
3.04164	1.361E-5	2.6242E-4
3.04264	1.5E-5	3.12004E-4
3.04364	1.434E-5	2.90613E-4
3.04465	1.321E-5	2.45828E-4
3.04565	1.367E-5	2.57237E-4
3.04666	1.398E-5	2.64277E-4
3.04766	1.747E-5	3.0144E-4
3.04866	1.464E-5	2.62685E-4
3.04967	1.659E-5	2.90446E-4
3.05067	1.5E-5	2.77689E-4
3.05168	1.269E-5	2.53043E-4
3.05268	1.506E-5	2.52039E-4
3.05368	1.406E-5	2.52566E-4
3.05469	1.534E-5	2.6461E-4
3.05569	1.602E-5	2.86017E-4
3.0567	1.388E-5	2.97005E-4
3.0577	1.329E-5	3.09269E-4
3.0587	1.686E-5	2.98778E-4
3.05971	1.514E-5	2.84961E-4
3.06071	1.547E-5	2.70535E-4
3.06172	1.747E-5	2.79246E-4
3.06272	1.391E-5	2.47393E-4
3.06372	1.634E-5	2.72916E-4
3.06473	1.847E-5	2.79872E-4
3.06573	1.435E-5	2.45995E-4
3.06674	1.188E-5	2.28481E-4
3.06774	1.481E-5	2.49682E-4
3.06874	1.486E-5	2.36245E-4
3.06975	1.316E-5	2.37545E-4
3.07075	1.363E-5	2.24998E-4
3.07176	1.435E-5	2.36189E-4
3.07276	1.417E-5	2.56907E-4
3.07376	1.286E-5	2.50106E-4
3.07477	1.208E-5	2.27973E-4
3.07577	1.394E-5	2.47805E-4
3.07678	1.51E-5	2.50328E-4
3.07778	1.325E-5	2.44903E-4
3.07878	1.587E-5	2.81437E-4
3.07979	1.513E-5	2.85001E-4
3.08079	1.631E-5	3.03275E-4
3.0818	1.83E-5	3.21712E-4
3.0828	1.287E-5	2.28599E-4
3.0838	1.46E-5	2.57563E-4
3.08481	1.481E-5	2.43995E-4
3.08581	1.395E-5	2.42558E-4
3.08682	1.405E-5	2.29031E-4
3.08782	1.466E-5	2.38846E-4
3.08882	1.513E-5	2.6322E-4
3.08983	1.422E-5	2.67353E-4
3.09083	1.337E-5	2.53189E-4
3.09184	1.596E-5	2.57447E-4
3.09284	1.33E-5	2.29844E-4
3.09384	1.487E-5	2.39282E-4
3.09485	1.539E-5	2.55505E-4
3.09585	1.658E-5	2.60521E-4
3.09686	1.772E-5	2.75131E-4
3.09786	1.684E-5	2.89185E-4
3.09886	1.361E-5	2.54671E-4
3.09987	1.631E-5	2.67222E-4
3.10087	1.262E-5	2.25468E-4
3.10188	1.574E-5	2.59097E-4
3.10288	1.796E-5	2.79199E-4
3.10388	1.813E-5	2.76616E-4
3.10489	1.505E-5	2.43852E-4
3.10589	1.586E-5	2.44388E-4
3.1069	1.745E-5	2.57694E-4
3.1079	1.693E-5	2.65092E-4
3.1089	1.708E-5	2.88281E-4
3.10991	1.848E-5	2.97897E-4
3.11091	1.705E-5	2.93631E-4
3.11192	2.07E-5	3.41276E-4
3.11292	1.909E-5	2.99173E-4
3.11392	1.922E-5	2.86525E-4
3.11493	1.941E-5	2.74161E-4
3.11593	1.933E-5	2.60235E-4
3.11694	1.818E-5	2.56613E-4
3.11794	1.669E-5	2.45542E-4
3.11894	1.884E-5	2.73879E-4
3.11995	1.824E-5	2.70172E-4
3.12095	2.116E-5	2.99379E-4
3.12196	1.868E-5	2.892E-4
3.12296	1.71E-5	2.82492E-4
3.12396	1.752E-5	2.78434E-4
3.12497	1.724E-5	2.60642E-4
3.12597	1.66E-5	2.5899E-4
3.12698	1.827E-5	2.60258E-4
3.12798	2.18E-5	3.0625E-4
3.12898	1.824E-5	2.6765E-4
3.12999	2.267E-5	3.21525E-4
3.13099	2.344E-5	3.45605E-4
3.132	2.229E-5	3.41135E-4
3.133	2.159E-5	3.30691E-4
3.134	1.909E-5	2.86719E-4
3.13501	2.239E-5	3.44499E-4
3.13601	2.426E-5	3.39768E-4
3.13702	2.014E-5	2.97391E-4
3.13802	2.007E-5	2.88066E-4
3.13902	2.195E-5	2.89961E-4
3.14003	2.153E-5	2.7753E-4
3.14103	2.206E-5	2.82778E-4
3.14204	2.035E-5	2.81399E-4
3.14304	2.232E-5	3.06537E-4
3.14404	2.309E-5	3.18492E-4
3.14505	2.154E-5	3.07661E-4
3.14605	2.561E-5	3.3782E-4
3.14706	2.365E-5	3.01269E-4
3.14806	2.562E-5	3.0969E-4
3.14906	2.418E-5	2.98563E-4
3.15007	2.447E-5	3.16984E-4
3.15107	2.146E-5	3.15666E-4
3.15208	2.258E-5	3.25615E-4
3.15308	2.536E-5	3.62355E-4
3.15408	2.412E-5	3.3262E-4
3.15509	2.638E-5	3.20989E-4
3.15609	2.626E-5	3.26693E-4
3.1571	2.488E-5	3.29454E-4
3.1581	2.581E-5	3.34617E-4
3.1591	2.484E-5	3.42869E-4
3.16011	2.617E-5	3.41726E-4
3.16111	2.655E-5	3.31273E-4
3.16212	2.741E-5	3.5452E-4
3.16312	2.535E-5	3.21749E-4
3.16412	3.084E-5	3.64584E-4
3.16513	2.857E-5	3.55838E-4
3.16613	2.924E-5	3.68257E-4
3.16714	3.116E-5	3.64549E-4
3.16814	3.05E-5	3.76277E-4
3.16914	2.869E-5	3.80403E-4
3.17015	3.067E-5	3.71947E-4
3.17115	3.182E-5	3.71119E-4
3.17216	3.255E-5	3.76396E-4
3.17316	3.17E-5	3.38281E-4
3.17416	3.313E-5	3.69778E-4
3.17517	3.369E-5	3.66825E-4
3.17617	3.292E-5	3.55591E-4
3.17718	3.359E-5	3.74771E-4
3.17818	3.525E-5	3.81066E-4
3.17918	3.34E-5	3.5767E-4
3.18019	3.549E-5	3.70057E-4
3.18119	3.741E-5	3.95666E-4
3.1822	3.525E-5	3.726E-4
3.1832	3.73E-5	3.93049E-4
3.1842	3.732E-5	3.80966E-4
3.18521	3.675E-5	3.72765E-4
3.18621	3.749E-5	3.7913E-4
3.18722	3.884E-5	3.88881E-4
3.18822	4.025E-5	4.01925E-4
3.18922	4.061E-5	4.13726E-4
